"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 29 00:46:16 BRT 2022","Tue Nov 29 00:46:21 BRT 2022","5205","","Login","","","","Validar fazer login com sucesso",""
"passed","Tue Nov 29 00:45:50 BRT 2022","Tue Nov 29 00:45:56 BRT 2022","5356","","Inscrição","","","","Validar inscrição de candidato com sucesso",""
"passed","Tue Nov 29 00:45:59 BRT 2022","Tue Nov 29 00:45:59 BRT 2022","535","","Inscrição","","","","Validar preencher campo email com dado inválido retorna mensagem de erro 'Email inválido'",""
"passed","Tue Nov 29 00:46:01 BRT 2022","Tue Nov 29 00:46:02 BRT 2022","407","","Inscrição","","","","Validar não preencher campos do Step 1 com dados válidos retorna mensagens de erro",""
"passed","Tue Nov 29 00:46:22 BRT 2022","Tue Nov 29 00:46:22 BRT 2022","857","","Login","","","","Validar fazer login com Email Invalido retorna mensagem de erro 'Email ou senha inválidos' ",""
"failed","Tue Nov 29 00:46:07 BRT 2022","Tue Nov 29 00:46:13 BRT 2022","5165","","Dashboard","","","","validar buscar administrador",""
"passed","Tue Nov 29 00:45:58 BRT 2022","Tue Nov 29 00:45:59 BRT 2022","621","","Inscrição","","","","Validar preencher campo nome com dado inválido retorna mensagem de erro 'Nome inválido'",""
"passed","Tue Nov 29 00:45:56 BRT 2022","Tue Nov 29 00:45:58 BRT 2022","2392","","Inscrição","","","","Validar inscrição de candidato com dados válidos e marcando não para 'Você é matriculado em algum curso de graduação ou técnico?' retorna mensagem de erro",""
"passed","Tue Nov 29 00:46:24 BRT 2022","Tue Nov 29 00:46:24 BRT 2022","307","","Login","","","","Validar clicar no botao inscrever-se redireciona a página",""
"passed","Tue Nov 29 00:46:21 BRT 2022","Tue Nov 29 00:46:22 BRT 2022","782","","Login","","","","Validar Fazer login com dados inválidos retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Tue Nov 29 00:45:59 BRT 2022","Tue Nov 29 00:46:00 BRT 2022","607","","Inscrição","","","","Validar preencher campo CPF com dado inválido retorna mensagem de erro 'CPF inválido'",""
"passed","Tue Nov 29 00:46:22 BRT 2022","Tue Nov 29 00:46:23 BRT 2022","954","","Login","","","","Validar Fazer login com senha incorreta retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Tue Nov 29 00:46:01 BRT 2022","Tue Nov 29 00:46:01 BRT 2022","516","","Inscrição","","","","Validar preencher campo Cidade com dado inválido retorna mensagem de erro 'É necessário no mínimo 3 letras'",""
"passed","Tue Nov 29 00:46:00 BRT 2022","Tue Nov 29 00:46:00 BRT 2022","580","","Inscrição","","","","Validar preencher campo Telefone com dado inválido retorna mensagem de erro 'O telefone precisa ser válido.'",""
"passed","Tue Nov 29 00:46:02 BRT 2022","Tue Nov 29 00:46:05 BRT 2022","3255","","Inscrição","","","","Validar botão 'próximo' desabilitado ao não preencher todos os campos obrigatórios do Step 2 com dados válidos",""
"passed","Tue Nov 29 00:46:00 BRT 2022","Tue Nov 29 00:46:01 BRT 2022","592","","Inscrição","","","","Validar preencher campo RG com dado inválido retorna mensagem de erro 'O RG precisa ter no mínimo 8 caracteres'",""
"passed","Tue Nov 29 00:46:23 BRT 2022","Tue Nov 29 00:46:24 BRT 2022","314","","Login","","","","Validar Fazer login sem preencher campos retorna mensagem de erro 'Email ou senha inválidos'",""
